,time,bid,ask,last,volume,time_msc,flags,volume_real
600,2023-10-17 05:30:00+05:30,106.243,106.515,106.01,4637174210887235404,28422,4,0.0
601,2023-10-18 05:30:00+05:30,106.21,106.626,106.001,4637197010360348967,29851,13,0.0
602,2023-10-19 05:30:00+05:30,106.533,106.661,105.923,4637173788674770338,33368,4,0.0
603,2023-10-20 05:30:00+05:30,106.204,106.407,106.055,4637169355443887145,27685,22,0.0
604,2023-10-22 05:30:00+05:30,106.135,106.18,106.105,4637171747981189186,1822,9,0.0
605,2023-10-23 05:30:00+05:30,106.177,106.323,105.503,4637130723003333607,27231,4,0.0
606,2023-10-24 05:30:00+05:30,105.59,106.308,105.333,4637175336787142246,28416,10,0.0
607,2023-10-25 05:30:00+05:30,106.224,106.603,106.128,4637197714047790744,26983,1,0.0
608,2023-10-26 05:30:00+05:30,106.544,106.911,106.517,4637199402897651007,30202,1,0.0
609,2023-10-27 05:30:00+05:30,106.569,106.79,106.308,4637198839947697586,26880,22,0.0
610,2023-10-29 05:30:00+05:30,106.52,106.619,106.512,4637201373222487982,1673,12,0.0
611,2023-10-30 05:30:00+05:30,106.596,106.695,106.05,4637170059131328922,25519,8,0.0
612,2023-10-31 05:30:00+05:30,106.15,106.847,105.879,4637206158297092063,31105,9,0.0
613,2023-11-01 05:30:00+05:30,106.663,107.109,106.457,4637191732704535642,31312,1,0.0
614,2023-11-02 05:30:00+05:30,106.454,106.476,105.797,4637173225724816916,28198,5,0.0
615,2023-11-03 05:30:00+05:30,106.194,106.213,104.926,4637092653512733491,26003,22,0.0
616,2023-11-05 05:30:00+05:30,105.089,105.117,105.041,4637093497937663623,1342,10,0.0
617,2023-11-06 05:30:00+05:30,105.063,105.28,104.835,4637107149474034090,24791,13,0.0
618,2023-11-07 05:30:00+05:30,105.257,105.765,105.248,4637126571247427125,26836,10,0.0
619,2023-11-08 05:30:00+05:30,105.534,105.861,105.437,4637123756497660019,26727,7,0.0
620,2023-11-09 05:30:00+05:30,105.488,105.957,105.364,4637152607682772861,28449,0,0.0
621,2023-11-10 05:30:00+05:30,105.908,106.003,105.73,4637143600483518120,24940,22,0.0
622,2023-11-12 05:30:00+05:30,105.756,105.801,105.737,4637141207946216079,1333,8,0.0
623,2023-11-13 05:30:00+05:30,105.743,105.946,105.574,4637132763696914760,23542,17,0.0
